Industry or Process,Primary Source,Byproduct Stream,Process Stage of Generation,Valorization Pathways or Processing,Typical issues,Techno–Economic Aspects,End–use Applications,Associated Critical Raw Materials (CRMs),Associated Strategic Raw Materials (SRMs),Average Chemical Composition,Chemical Formulae,Elemental Composition,Physical State of Byproducts,Production Content,pH Level,Water Content
Tungsten,"Scheelite (CaWO4), wolframite ((Fe,Mn)WO4) [25, 7]",Tungsten tailings,"W ore beneficiation – flotation or gravity concentration [4, 25]","Selective alkaline or acid leaching to dissolve W–bearing scheelite or wolframite residues [4]
Roasting to break refractory mineral structures and improve leachability [27]
Gravity or flotation beneficiation to obtain concentrated heavy W minerals [42]","Refractory phases, low grades [48]",W recovery is considered to be highily profitable despite low grade as the market demand surpasses it [48],"Geopolymers, Supplementary Cementitious Material (SCM), clinker feed [48]",Not applicable,Sn [48],"SiO2​ (46.67–53.5%)
Al2​O3​ (16.7–21.1%)
Fe2​O3​ (10–15.5%)
CaO (9.5–29.3%) [14]","Quartz (SiO2​)
Muscovite (KAl2​(AlSi3​O10​)(OH)2​)
Clinochlore
Chlorite
Albite
Calcite (CaCO3​)
Amphibole [14]","Si, Al, Fe, Ca, W, REEs [14,48]",Solid state: fine particulate material or slurry [48],Unavailable data,8.0–9.3: typically carbonate–dominated mines [14],40.0–60.0%: typically mining slurry moisture range [14]
Tungsten,"Scheelite (CaWO4), wolframite ((Fe,Mn)WO4) [25, 7]",Tungsten smelting slags,"W smelting – smelting or reduction [20, 48]","Hydrometallurgical leaching to extract W from post–smelting oxides [20]
Oxidative roasting to improve W phase solubility [49]","Low W content, phase stability limits the extraction process [13]",Possibility of high value of W obtained in  tungsten oxide form through selective hydrometallurgical treatment [48],"W concentrates, chemical precursors, aggregates [13]","V, W [48]",Sn [13],Silicate–based slag consisting of W and Ca oxides [19],"Scheelite (CaWO4)
Wolframite residues [19]","W, Fe, Mn, Si, Ca [19]",Solid state: granular or vitrified solid [13],Unavailable data,Alkaline [13],Negligible: vetrified solid slag [13]
Molybdenum (Mo),Molybdenite (MoS2) [48],Molybdenum tailings,"Mo beneficiation – flotation [4, 14]","Re–flotation to recover residual MoS2 from fine tailings [4]
Hydrometallurgical leaching to dissolve molybdate species [27, 42]","Low Mo grades, issues regarding economic feasibility [48]",Mo recovery is a primary economic leverage for reprocessing in sulfide mineral systems [48],"Cement fillers, refractory ceramics, aggregates [48]",Not applicable,Not applicable,"SiO2​ (32.1–73.0%)
Al2​O3​ (3.9–13.50%)
Fe2​O3​ (2.3–27.4%)
CaO (3.5–19.0%) [14]","Quartz (SiO2​)
Tridymite
Rutile (TiO2​)
Diopside
Pyrite (FeS2​)
Phlogopite [14]","Si, Al, Fe, Ca, Mo, S, Ti, Mg, K [14]",Solid state: fine particulate material or slurry [48],Unavailable data,Near neutral–slightly alkaline [14],40.0–60.0%: typically mining slurry moisture range [48]
Molybdenum (Mo),Molybdenite (MoS2) [48],Molybdenum roaster residues,"Oxidative roasting of Mo concentrates [20, 48]","Controlled oxidative roasting to convert MoS2 to MoO3 [20]
Leaching to produce ammonium molybdate or Mo–bearing solutions [49]","Variability in oxidation state, controlled leaching required [7]",Mo recovery from roaster residue provide high economic return rate [48],"FeMO, Mo powders, ammonium molybdates [7]",Not applicable,Not applicable,"Mo (154 mg/kg) in steel slags
Mo (~10%) in roasting/catalyst residues (industrial level) [48]","Iron vanadium oxide (FeV2​O4​)
(Mg,Ni)O mixed oxides
Molybdates ((MoO4)2−​) [48, 13]","Mo, Fe, V, Mg, Ni, Al, S, Co, O [48]",Solid state: particulate powder resulting from sulfide roasting process [7],Unavailable data,Near–neutral: solid particulate after oxidative roasting [7],Low: solid particulate remaining after oxidative roasting [7]
Chromite Processing,"Chromite (FeCr2O4) [48, 35, 33]",Chromite ore processing residues (COPR),Chromite alkaline roasting or chemical processing [48],"Cr(VI) chemical reduction to Cr(III) using reductants []
Alkaline roasting to liberate Cr for selective extraction [49]
Selective leching for extraction of Cr and Fe from detoxified material [21]",Cr(VI) toxicity hence requires reduction to Cr(III) [33],High cost for detoxitification of Cr(VI) are overpowered by thee high market value of recovered Cr concnetrates [48],"Cr concentrates, ferrochromate alloy, alkali chromates, detoxificated aggregates [48, 33]",Not applicable,Not applicable,"Fe2O3
MgO
Al2O3
SiO2
Hazardous Cr(VI) [48]","Brownmillerite
Hydrocalumite
Ettringite
Chromite spinel [48]","Fe, Mg, Al, Si, Cr, Ca, S, O [48]",Solid state: typically granular or fine particulate [33],Unavailable data,Extremely alkaline: with high Cr(VI) risk in leaching process [23],Vary: solid waste found in industrial stockpile [33]
Manganese Processing ,"Pyrolusite (mnO2), rhodochrosite (MnCO3) [5, 7, 48]",Manganese tailings,"Mn beneficiation – tailings [4, 25]","Acid leaching to dissolve Mn oxides or carbonates [4]
High–gradient magnetic separation to isolate Mn–rich phases [27, 43]","Fe or Mn impurities, acid consumption [22]",Potential for significant Mn recovery is advantagous for battery–grade chemicals [48],"Mn concentrates, soil remediation minerals [24, 22]",Not applicable,Mn (battery grade) [13],"Mn (oxides or carbonates)
SiO2
Al2O3
Fe [48,13]","Pyrolusite (MnO2​)
Rhodochrosite (MnCO3​)
Quartz (SiO2​) [48]","Mn, Si, Al, Fe, REEs [13]",Solid state: fine particulate material or slurry [22],Unavailable data,Near neutral–alkaline [22],40.0–60.0%: typically mining slurry moisture range [22]
Manganese Processing ,"Pyrolusite (mnO2), rhodochrosite (MnCO3) [5, 7, 48]",Electrolytic manganese residues (EMR),Electrolytic Mn production – residues [48],"Neutralization to precipitate metal hydroxides [48]
Oxidation roasting to convert Mn phases into suitable oxide forms [48]","High acidity, ammonia content presence [13]",Value of Mn recovery is more significant than acidic residue's processing cost (processes like stabilization or neutralization) [48],"Mn2O3, MnSO4 for batteries, fertilizers [13]",Not applicable,Mn (battery grade) [13],"Mn
Fe
Si
Ca
Al
Mg
sulfates [48]","Gypsum (CaSO4​⋅2H2​O)
Quartz (SiO2​)
Jarosite [48]","Mn, Fe, Si, Ca, Al, Mg, S, O [48]",Wet solid or sludge state: precipitated (acidic) filter cake [13],Included in secondary flow of >8.5 Mt/year [44],Acidic: generated from acidic precipitate sludge from Mn electrolysis [19],High: electrolytic residue handled as wet filter cake [13]
Tin,"Cassiterite (SnO2) [25, 7]",Tin tailings,"Sn ore beneficiation – tailings [4, 25]","Gravity separation to concentrate heavy Sn or Nb or Ta minerals [4]
Froth flotation for selective mineral beneficiation [27]
Acid leaching of Sn or Nb or Ta metals for recovery purposes [42]","Complex mineralogy, fine particles [50]",Recovery of Nb and Ta represent high margin value from tailings in Sn–rich deposits [48],"Purified Sn, mullite ceramics, Nb or Ta concentrates [50, 48]","Nb, Ta [48]",Not applicable,"Sn
SiO2
Al2O3
Fe
Nb, Ta (traces) [48]","Quartz (SiO2​)
Cassiterite (SnO2​)
Mica [48]","Sn, Si, Al, Fe, Nb, Ta, S [48]",Solid state: fine particulate material or slurry [48],Unavailable data,Near neutral–slightly alkaline: depends on geological host rock [48],40.0–60.0%: typically mining slurry moisture range [48]
Tin,"Cassiterite (SnO2) [25, 7]",Tin slags,"Tin smelting – furnace [20, 48]","Flux–assisted reduction to recover Sn and associated metals [20]
Carbothermic reduction to extract valuable oxides or minerals [20]","Variable metal content, dependant on flux [50]",Recovery of Nb and Ta from smelter slags have high value for SRM's market [48],"Zn or Mn or Fe recovery, Ta or Nb oxides, Ag refining [50]","Nb, Ta [48]",Not applicable,"Ta and Nb oxides
SiO2
CaO
Al2O3
FeO [48]","Silicate glass
Tantalite ([Fe,Mn]Ta2​O6​)
Columbite [49]","Ta, Nb, Si, S, Al, Fe, Sn [48]",Solid state: stony or granular aggregate [50],Included in secondary flow of >8.5 Mt/year [44],Alkaline: silicate–glass matrix [50],Low: vitrified silicate solid [48]
Lithium–ion batteries,"Cathode materials: NMC (LiNiMnCoO2), LCO (LiCoO2),LFP (LiFePO4) [48, 5]",Spent Li–ion battery (LIB) black mass ,"LIB recycling – mechanical shredding and thermal treatment [5, 48]","Acid leaching to extract Li, Co, Ni, Mn into solutions [20]
Pyrometallurgical smelting to obtain alloy intermediate [49]
Direct regeneration (re–lithiation) to restore cathode materials [25]","Heterogenous mix, binders inhibit leaching [48]","For EU strategy recovery of Co, Ni, Li metal is priority to achieve a net–zero carbon economy [48]","High–purity Li, Co, Ni salts, battery precursor materials [48]","Li (battery grade), Co, Ni, Mn (battery grade) [48]","Li, Co, Ni (battery grade), Mn (battery grade), Natural graphite [48]","Li (2–5%)
Co (5–20%)
Ni (5–20%)
Mn (5–15%)
C–graphite (20–30%) [48]","Graphite
Lithium cobalt oxide (LiCoO2​)
Spodumene polymorphs (α,γ,β) [48]","Li, Co, Ni, Mn, C, Al, Fe, P, O, Ti, F [48]",Solid state: fine powder generated from mechanical shredding of residues [48],Unavailable data,Acidic: processed in H2SO4 or HCl for recovery) [48],Low: mechanically shredded dry powder [48]
Lithium–ion batteries,"Cathode materials: NMC (LiNiMnCoO2), LCO (LiCoO2),LFP (LiFePO4) [48, 5]",Electrode sludges,"LIB recycling – post–shredding separation [5, 48]","Electrolyte removal via washing or thermal stripping [20]
Hydrometallurgical processing to dissolve active metals [25]
C purification via calcination or activation process [36]",Electrolyte or polymer contamination [48],"Recovery of Co, Ni, Li metals from the refined sludges provide high purity precursors for manufacturing of battery [48]","C anode materials, NaF recovery, SiC [48]","Li (battery grade), Mn (battery grade) [48]","Li, Co, Ni (battery grade), Mn (battery grade) [48]","Pb
Sb
As
Ni
Li
C [48]","Metallic lead (Pb)
Metal antimonates
Graphite [48]","Pb, Sb, As, Ni, Li, C [48]",Wet solid or sludge state: refined battery or electrode processing residues [48],1020.6 t/year (annual campaign – Pilot project) [11],Acidic–neutral: secondary refinery residues [48],High: refining residue handled as wet sludge [48]
E–waste (WEEE),"Printed circuit boards (PCBs), electronic components [12, 27]",Circuit board (PCB) concentrates,"E–waste – shredding of smelting feed [20, 48, 12]","Comminution to liberate metal–bearing fractions [20]
Pyrometallurgical smelting to concentrated metals [20]
Hydrometallurgical leaching for metal recovery of Cu, Au, Ag, PGMs [49]","High organics present, multi–stage pretreatment required [48, 12]",Au concentration is high which can boost the profitability of electronic waste recycling [48],"Refined Au, Ag, Pd, secondary Cu or Al alloys [12, 48]","Ta, Be, PGMs (Pd) [48]","Cu, PGMs (Pt, Pd) [12]","Au (0.1–1.5%)
Ag
Pd
Cu
Sn
Pb in solid wt% [50,48]","Metallic alloy (Cu– Sn– Pb)
Noble metal particulates (Au, Ag, Pd) [10,48]","Au, Ag, Pd, Cu, Sn, Ni, Al, Fe, Si, O [10,48]",Solid state: particulate fines or shredded board fragments [12],Unavailable data,Acidic: processed in aqua regia or H2SO4) [12],Low: shredded dry metallic particulate [12]
E–waste (WEEE),"Printed circuit boards (PCBs), electronic components [12, 27]",Smelter slag from e–waste,"E–waste – pyrometallurgical smelting [20, 48, 12]","Re–smelting to improve metal separation [20]
Selective leaching to dissolve valuable metals [20]","Halogens or organics contamination [48, 12]",Recovery of precious metals from the slags are major economic drivers for smelter operations [53],"Cu or PGM recovery, construction material [26]",Not applicable,"Cu, PGMs [26]","Fe
SiO2
Al2O3
Cu (residual)
Other strategic metals [48]","Fayalite (Fe2​SiO4​)
Magnetite (Fe3​O4​)
Cu–rich droplets
Spinel [48]","Fe, Si, Al, Cu, O, Au, Ag, Pd [48]","Solid state: granular, stony, or vitrified or glassy slag [48]",Unavailable data,Alkaline: silicate–rich fayalithic slag [26],Low: vitrified or stony metallurgical solid slag [26]
E–waste (WEEE),"Printed circuit boards (PCBs), electronic components [12, 27]",Anode slimes from e–waste,"Cu electrorefining of e–waste [20, 50]","Roasting to break refractory metal phases [50]
Sequential leaching to extract Au, Ag, PGMs [21]
Electrorefining to obtain high–purity state of metals [50]",Complex multi–metal phases [50],High enrichment of precious metals is one of the most profitable secondary source in the raw material sector [50],"Electro–AU, refined Ag, SE or Te products [50]","As, Sb [9]","PGMs, Cu [50]","Cu, Se, Sn, Pb and noble metals [50]","Naumannite (Ag2​Se)
Cuprite (Cu2​O)
Anglesite (PbSO4​)
Metallic gold [50]","Cu, Se, Sn, Pb, Au, Ag, Pd, Pt, Sb, As [50]",Wet solid or slime state: concentrated precious metal residue [50],Unavailable data,Acidic: leached in strong mineral acids) [50],High: precious metal residue handled as wet slime [50]
E–waste (WEEE),"Printed circuit boards (PCBs), electronic components [12, 27]",Smelter flue dust and baghouse dust,"Smelting – off–gas cleaning [20, 48]","Hydrometallurgical volatilization to recover Zn, Pb, Cd, As metals [20]
Stabilization to immobilize hazardous species [20]","Volatile toxic metals, stabilization required [30]",Recovery of valuable volatile metal generates significant revenue from off–gas treatment waste [38],"ZnSO4, ZnO, sponge Cd, Pb residues [48]",Not applicable,PGMs [48],"Zn (21.6%)
Fe (29.5%)
Si (5.6%)
Pb (1.3%)
CaO (9.3%) [38]","Franklinite (ZnFe2​O4​)
Magnetite (Fe3​O4​)
Zincite (ZnO)
Lead oxides (PbO) [38]","Zn, Fe, Si, Pb, Ca, O, Cd, Mn, Al, Cu, S, As, C [38]",Solid state: ultra–fine powder or baghouse dust particles [48],Unavailable data,12.0: aligned withsecondary Pb/Zn dusts [44],Low: dry ultra–fine powder collected in filter system [48]
Phosphate Industry,"Phosphate rocks (apatite) (Ca5(PO4)3(F,Cl,OH)) [48]",Phosphogypsum,"Wet process phosphoric acid – gypsum precipitation [48, 44]","Washing and removing impurities to reduce radionuclides [20]
Stabilization for safe construction material use [49]
REE acid leaching from phosphate–linked minerals [49]","Radionuclides (U or Th), impurities presence [44]",Potential of REEs extraction for specific lanthanides exists but low bulk concentration challenge arises [48],"Cement or wallboard, bricks, soil amendments, REE extraction [44, 48]","Sc, P [23]","REEs for magnets (Nd, Dy, Pr, Ce etc.) [44]","CaSO4.2H2O
P2O5 (residual)
REEs (Nd, Pr)
U (traces) [48]","Gypsum (CaSO4​⋅2H2​O)
Brushite
REE–phosphates [23, 48]","Ca, S, O, P, Nd, Pr, U, La, Ce, Y [13,48]",Solid state: fine crystalline particulate [44],Unavailable data,Acidic: due to residual P2O5 or H3PO4 content as it is leached at pH 1 approximately [48],Significant: handled as wet crystalline solid or stackable waste [44]
Phosphate Industry,"Phosphate rocks (apatite) (Ca5(PO4)3(F,Cl,OH)) [48]",Phosphoric acid sludges,"Phosphoric acid plant – filtration sludges [48, 44]","REE or U leaching to extract the critical minerals [48]
Neutralization to stabilize acidic residues [21]
Geopolymerization as alternative binder feed [48]","Metals, organics, acidic in nature [44]",Recover of REEs leads to strategic secondary resources along with reduction of waste stream (landfilled) acid sludges [48],"Geopolymers, cement, adsorbents, U or REE recovery [44]",P [48],Not applicable,"P2O5
Al
Fe
Mg
Si [4]","Aluminum phosphates
Iron phosphates
Quartz (SiO2​) [54]","P, Al, Fe, Mg, Si, O, REEs [48]",Wet solid or sludge state: settled phosphoric acid process residue [44],Unavailable data,Highly acidic: byproduct of direct H3PO4 process) [48],High: processing residue typically handled as wet sludge [44]
Rare Earth Elements (REEs),"Carbonatite ores, ion–adsorption clays, REE (monazite, xenotime) [48, 47]",REE – bearing tailings,"REE beneficiation residues [48, 16]","Acid or alkali roasting to enhance REE solubility [48]
REE leaching from activated minerals [7]
Minerals beneficiation to isolate heavy or light REEs [48]","Radioactivity, mineralogical heterogeneity [47]",High–value of REEs provides a critical source to the EU supply chain for magnets and renewable energy systems [48],"REE concentrates, geopolymer ceramics, Ni or Fe products [14, 47]","Sc, REEs – LREEs and HREEs (La, Y) [48]","REEs for magnets (Nd, Pr, Ce) [47]","Nd (0.3%)
Pr (0.13%)
Y, La, Ce [48,25]","Monazite ([Ce,La,Nd,Th]PO4​)
Xenotime (YPO4​)
Rhabdophane [7]","Nd, Pr, Y, La, Ce, P, O, Th, heavy REEs [47]",Solid state: fine particulate or mineralized ore fragments [47],Unavailable data,Acidic: potentially as often found in acidic mine waters [47],40.0–60.0%: typically mining slurry moisture range [47]
Rare Earth Elements (REEs),"Carbonatite ores, ion–adsorption clays, REE (monazite, xenotime) [48, 47]",REE neutralization sludges,REE or acid process – neutralization [48],"Acid leaching to dissolve metals like Ni, Cr, Fe selectively [48]
Precipitation to form pigment–grade magnetite [48]","High moisture content, variable REE present [48]",Potential for REEs extraction is high but the trace elements concentration to a grade suitable for market is considered to be feasible [48],"Ni or Cr pigments, magnetite [48]",Not applicable,"Co, Ni (battery grade) [48]",Concentrated REE in hyroxides form [48],"Light REE hydroxides and carbonates
Perovskite (CaTiO3​) [47]","La, Ce, Nd, Y, Pr, Sm, transition metals [48]",Wet solid or sludge state: precipitated metal hydroxides [48],Unavailable data,7.0–9.5: product is pH adjusted [48],High: effluent treatment product handled as wet filter cake [48]
Titanium or REE,"Ilmenite (FeTiO3), rutile (TiO2), monazite, xenotime [47]",TiO2 plant residues,TiO2 sulfate or chloride digestion residues [48],"Acid leaching to extract Ti or Mg or Al [48]
Thermal roasting to liberate REE–bearing phases [37]","Sulfate or chloride load, Th or U traces [48]","Enrichment of Ti, Mg, Al provides high–performance catalysts and binders [48]","Ti or Mg or Al enriched catalysts, pigments [48]","V, Nb [48]","Ti metal, 49","Mg(Fe, Al)2O4 (82%)
Free MgO (9%)
Ti, V, Cr (traces) [2]","Spinel solid solution (Mg[Fe,Al]2​O4​)
Periclase (MgO)
Rutile (TiO2​) [13]","Mg, Fe, Al, O, Ti, V, Cr, Ca, Mn, Na, Si, K [2]","Solid state: fine–grained oxide residue, mixed with iron–magnesium oxides [2]",Unavailable data,Near neutral–alkaline: insoluble Fe–Mg oxide residue) [2],"Low: Insoluble dry oxide residue i.e., Mg–Fe oxides [2]"
Titanium or REE,"Ilmenite (FeTiO3), rutile (TiO2), monazite, xenotime [47]",REE digestion residues,Monazite or Xenotime acid digestion residues [48],"Leaching to extract remaining residual REEs [48]
Neutralization to stabilize radioactive elements [37]","Radioactivity, complex separation chemistry [48]",Recovery of heavy REEs and Sc provides a key economic opportunity in context of circular economy [47],"Refined REE oxides, construction fillers [48]","Sc, REEs – LREEs and HREEs [13]",REEs for magnets [13],"Ce2O3 (34–51%)
TiO2 (9–24%)
Fe2O3 (7–23%) [47]","Cerium ferrotitanate
Sodalite
Cancrinite [47]","Ce, Ti, Fe, Ca, Na, O, La, Pr, Nd, Th, Al, Si [47]",Solid state: insoluble particulate residue after acid treatment [13],Unavailable data,Alkaline: resulted from concentrated NaOH digestion [13],Low: insoluble dry particulate prior acid treatment [13]
Gold,"Native gold, quartz veins [27, 46]",Cyanidation tailings,"Gold extraction – cyanidation (Carbon–in–leach (CIL) or Carbon–In–Pulp (CIP) or Heap leach) [46, 4]","Detoxification (SO2/air process) to destroy residual cyanide [46]
Thiosulfate or halide releaching to recover remaining Au or Ag metals [23]
Geopolymerization to immobilize residual toxic phases involving alkali activation [23]","Cyanide toxicity, AMD risk [46]",Recovery of Au is significant to reduce environmental liability and facilitate in land reclamation [46],"OPC clinker, geopolymer pavers, residual Au or Ag or Cu recovery [46]","Sb, traces of As [46]",Cu [46],"Fe (27–42%)
SiO2 (24%)
Al2O3 (6%)
Au (5–10 g/t)
residual cyanide [46]","Quartz (SiO2​)
Pyrite (FeS2​)
Feldspar
Mica
Hematite
Goethite [46]","Fe, Si, Al, Au, C, N, Pb, As, Cr, Ni, Zn, Hg, S, P, Cu [46]",Solid state: fine dry particulate or aqueous slurry from leaching process [46],"Haveri site: 1.4 Mt
Hutura site; 13.5 Mt [17]",10.0–11.0: requires high pH for stabilization of cyanide [46],40.0–60.0%: typically gold mining slurry moisture range [46]
Refractory Au or PGM,"Refractory ores, sperrylite (PtAs2) [50, 46, 26]",POX (Pressure Oxidation) residues and Roasting residues,"Refractory Au or PGM – pressure oxidation or roasting [46, 20]","Pressure oxidation or roasting to oxidize sulfides and open mineral structures [46]
Cyanidation or thiourea–leaching for liberated metals [21]
Ar stabilization (Fe–As compounds) for ensuring safe handling [21]","High presence of As, requires stabilization [46]",Recovery of AU and PGM is highly valuable and using thiosulfate or halide leaching processes is technically feasible [46],"High–purity Au, PGM recovery, FE and S products [46]",As [26],PGMs [26],"Iron oxides
sulfates
residual Au
As [46]","Hematite (Fe2​O3​)
Magnetite (Fe3​O4​)
Calcium sulfate [46]","Fe, Au,Ca, As, O, S [46]",Solid state: fine particulate powder from refractory ore treatment [46],Unavailable data,Acidic: formed from pressure oxidation of refractory sulfides [46],Low: solid particulate powder prior to thermal treatment [46]
Refractory Au or PGM,"Refractory ores, sperrylite (PtAs2) [50, 46, 26]",PGM slags,PGM smelting or converting [26],"Collector smelting (Cu–matte) to capture PGMs [26]
Hydrometallurgical leaching for PGMs dissolution [21]","Low– grade PGM with complex matrix [26, 20]",Recovery of PGMs is highliy valuable and contributes extremely to SRM market [26],"Refined Pd or Pt or Rh concentrates, aggregates [26]",Not applicable,"PGMs, Mg metal [26]","Al2O3
SiO2
MgO
CaO
PGMs – Pt, Pd, Rh (traces) [26]","Cordierite (Mg2​Al4​Si5​O18​)
Spinel
Mullite
Glassy phase [26]","Al, Si, Mg, Ca, O, Pt, Pd, Rh, Zr, Ce, Fe, Ti, Cr, P, S, Na, Ba [26]",Solid state: typically vitrified or glass slag containing trapped metals [26],Unavailable data,Alkaline: vitrified silicates or ceramics–based slag [26],Low: vitrified or ceramic–based solid slag [26]
Silver,"Argentite (Ag2S), byproducts of PborZnorCu [9, 50]",Silver anode mud or slimes,"Silver or lead electrorefining [50, 9]","Oxidation roasting to break Se or Te compounds [50]
Sequential leaching to extract Ag, Au, Se, Te [6]
Electrorefining to produce high–purity Ag or Au metals [50]","Complex metal matrix, complexity is further added due to Se recovery [50, 9]",Recovery of Au and Ag metals in high–purity state is primary byproduct [50],"Electro–Au, refined Ag powder, PGM concentrates [50, 9]","As, Sb [50]",PGMs [50],"Ag (up to 12.8 wt%)
Au
Pt
Pd
Pb
Sb
As
Cu [50]","Metallic silver (Ag)
Ag3Sn [50]","Ag, Au, Pt, Pd, Pb, Sb, As, Cu, Zn, Si, O, S, Sn, Bi, Se, Te [50]",Wet solid or slime state: concentrated residue from electrolytic residue [50],37.9 kg of Ag/1000 kg of anode slime treated [53],Acidic: derived from sulfate or nitrate refining process [50],High: wet slime collected from electrolytic tanks [50]
Sulfur capture (non–ferrous smelting),"Sulfide ores (i.e., chalcopyrites, galena, sphalerite) [7, 35]",Acid plant gypsum,"Smelter off–gas in H2SO4 plant resulting in gypsum [53, 20]","Washing and removing of  impurities for reduction in halides or metals present [53]
Solidification to improve mechanical or geo–environmental performance [53]",Impurities (Cl or F or heavy metals) affect reuse quality [30],Utilised for low–cost construction feedstock for backfill materials and cement manufacturing [54],"Wallboard, cement clinker, backfill material [20, 30]","As, 53","Cu, 53","CaSO4.2HO
F
S
heavy metal (traces) [54]","Gypsum (CaSO4​⋅2H2​O)
Bassanite (CaSO4​⋅0.5H2​O)
Anhydrite [54]","Ca, S, O, H, F, Pb, Cl, Al, Fe, Mg, Si [54]",Solid state: crystalline particulate from smelter gas treatment [30],Unavailable data,Acidic: sulfide gas treatment byproduct [30],Low: crystalline dry particulate after industrial drying process [30]
Environmental Control or Refining,"SCR emission control, petroleum refining [26, 19, 48]",Spent catalysts,"Spent SCR or DeNOx or hydroprocessing catalysts [19, 26]","Smelting (wetting or settling technique) for PGM or Ni or V metal recovery [26]
Hydrometallurgical leaching of V, Ni, PGMs for selective separation [50]
Catalyst regeneration by removing poisons and re–activating supports [50]","V or Ni or As contamination, deactivation mechanisms [19, 48]","Presence of high value of V, W, Ni and PGM components make the recycling of catalyst highly profitable [19]","Refined Pd or Pt or Rh, regenerated catalysts [19, 26]","V, W, Ni (battery grade), PGMs [19]","PGMs, Ni (battery grade), Co, Ti metal [19]","TiO2 (79.0–85%)
SiO2 (6.65%)
P2O5 (3.6%)
CaO (2.65%)
Al2O3 (1.9%) [19]","Anatase or Rutile (TiO2​)
Vanadium oxides
Tungsten oxide (WO3​) [19]","Ti, Si, P, Ca, Al, O, S, As, W, V [19]",Solid state: fine powder or honeycomb–ceramic monoliths [19],"> 500,000 tonnes/year from total global SCR generation [19]",Acidic: processed in H2SO4 or HCl solutions [19],Low: dry honeycomb monoliths or mechanically shredded powders [19]
